"jurisdiction","iso_alpha_2","iso_numeric","tax_codes","status_type","status_label","instrument_category","instrument_title","complementary_act","principal_official_url","secondary_official_urls","signed_not_in_force","signed_not_in_force_url"
"Afrique du Sud","ZA","710","IR|IF","inforce","en vigueur","Impôt sur le revenu","Convention du 8 novembre 1993 (Journal officiel du 23 novembre 1995)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/afrique_du_sud/afrique-du-sud_convention_cml.pdf","","",""
"Albanie","AL","008","IR|IF","inforce","en vigueur","Impôt sur le revenu","Convention du 24 décembre 2002 (Journal officiel du 21 octobre 2005)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/albanie/albanie_version_consolidee_convention_avec_albanie_modifiee_par_convention_multilaterale.pdf","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/albanie/nid_5957_albanie.pdf","",""
"Algérie","DZ","012","IR|IF|S","inforce","en vigueur","Impôt sur le revenu","Convention du 17 octobre 1999 (Journal officiel du 26 décembre 2002)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/algerie/algerie_convention-avec-l-algerie_fd_1720.pdf","","",""
"Allemagne","DE","276","IR|IF|S|D","inforce","en vigueur","Impôt sur le revenu","Convention et échange de lettres du 21 juillet 1959 (Journal officiel du 8 novembre 1961 et rectificatif du 9 janvier 1962)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/allemagne/version-consolidee-de-la-convention-avec-lallemagne-modifiee-par-la-convention-multilaterale---impots-sur-le-revenu-et-la-fortune-1959.pdf","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/allemagne/allemagne_convention-avec-l-allemagne-successions-et-donations-en-vigueur-au-03.04.2009_fd_4003.pdf","",""
"Allemagne","DE","276","IR|IF|S|D","inforce","en vigueur","Impôt sur le revenu","Avenant du 9 juin 1969 (Journal officiel du 22 novembre 1970)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/allemagne/version-consolidee-de-la-convention-avec-lallemagne-modifiee-par-la-convention-multilaterale---impots-sur-le-revenu-et-la-fortune-1959.pdf","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/allemagne/allemagne_convention-avec-l-allemagne-successions-et-donations-en-vigueur-au-03.04.2009_fd_4003.pdf","",""
"Allemagne","DE","276","IR|IF|S|D","inforce","en vigueur","Impôt sur le revenu","Avenant du 28 septembre 1989 (Journal officiel du 7 novembre 1990)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/allemagne/version-consolidee-de-la-convention-avec-lallemagne-modifiee-par-la-convention-multilaterale---impots-sur-le-revenu-et-la-fortune-1959.pdf","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/allemagne/allemagne_convention-avec-l-allemagne-successions-et-donations-en-vigueur-au-03.04.2009_fd_4003.pdf","",""
"Allemagne","DE","276","IR|IF|S|D","inforce","en vigueur","Impôt sur le revenu","Avenant du 20 décembre 2001 (Journal officiel du 20 septembre 2003)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/allemagne/version-consolidee-de-la-convention-avec-lallemagne-modifiee-par-la-convention-multilaterale---impots-sur-le-revenu-et-la-fortune-1959.pdf","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/allemagne/allemagne_convention-avec-l-allemagne-successions-et-donations-en-vigueur-au-03.04.2009_fd_4003.pdf","",""
"Allemagne","DE","276","IR|IF|S|D","inforce","en vigueur","Impôt sur le revenu","Avenant du 31 mars 2015 (Journal officiel du 24 janvier 2016)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/allemagne/version-consolidee-de-la-convention-avec-lallemagne-modifiee-par-la-convention-multilaterale---impots-sur-le-revenu-et-la-fortune-1959.pdf","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/allemagne/allemagne_convention-avec-l-allemagne-successions-et-donations-en-vigueur-au-03.04.2009_fd_4003.pdf","",""
"Allemagne","DE","276","IR|IF|S|D","inforce","en vigueur","Travailleurs frontaliers","Arrangement administratif du 16 février 2006","true","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/allemagne/version-consolidee-de-la-convention-avec-lallemagne-modifiee-par-la-convention-multilaterale---impots-sur-le-revenu-et-la-fortune-1959.pdf","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/allemagne/allemagne_convention-avec-l-allemagne-successions-et-donations-en-vigueur-au-03.04.2009_fd_4003.pdf","",""
"Allemagne","DE","276","IR|IF|S|D","inforce","en vigueur","Successions et donations","Convention du 12 octobre 2006 (Journal officiel du 2 mai 2009)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/allemagne/version-consolidee-de-la-convention-avec-lallemagne-modifiee-par-la-convention-multilaterale---impots-sur-le-revenu-et-la-fortune-1959.pdf","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/allemagne/allemagne_convention-avec-l-allemagne-successions-et-donations-en-vigueur-au-03.04.2009_fd_4003.pdf","",""
